Yoga,col,Large_n,Large_%,Small_n,Small_%,Chi2,p_raw,p_bonf,OR,OR_CI_lo,OR_CI_hi,Cohen_h,sig_raw,sig_bonf
exchange,dk_exchange,80,0.8,47,0.47,8.6296,0.003307,0.023152,1.7004,1.1867,2.4364,0.0419,True,True
ownhouses,dk_ownhouses,229,2.29,154,1.54,14.9734,0.000109,0.000763,1.4968,1.2183,1.839,0.055,True,True
conjunction,dk_conjunction,557,5.57,414,4.14,22.1344,0.000003,0.000018,1.3654,1.1986,1.5553,0.0667,True,True
conj_any,dk_conj_any,2293,22.93,2278,22.78,0.0638,0.800578,1.000000,1.0085,0.9441,1.0774,0.0036,False,False
mutualaspect,dk_mutualaspect,497,4.97,500,5.0,0.0095,0.922352,1.000000,0.9937,0.8749,1.1286,-0.0014,False,False
any,dk_any,3099,30.99,2979,29.79,3.4035,0.065057,0.455398,1.0584,0.9965,1.1241,0.0261,False,False
pure,dk_pure,2852,28.52,2794,27.94,0.8302,0.362221,1.000000,1.029,0.9676,1.0944,0.0129,False,False
